title,price,location,product_url,main_image,brand,description,seller_name
الجهاز مغير شاشه,4000.0,"Imbaba, Giza",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%84%D8%AC%D9%87%D8%A7%D8%B2-%D9%85%D8%BA%D9%8A%D8%B1-%D8%B4%D8%A7%D8%B4%D9%87-ID200349076.html,https://images.dubizzle.com.eg/thumbnails/86665040-240x180.jpeg,Xiaomi,Xiaomi redme not 10  ram 6 space 128,AbdallaH
iPhone  xs 256,12200.0,"Sheikh Zayed, Giza",https://www.dubizzle.com.eg/en/ad/iphone-xs-256-ID200349069.html,https://images.dubizzle.com.eg/thumbnails/86664812-240x180.jpeg,Apple - iPhone,الجهاز بحاله نضيفه  فاضي بدون مشتملات فيس اي دي طلقه مش مغير اي حاجة غير باغة الكاميرا مساحه 256 بطاريه 76 رقم التواصل 01205513803 المكان الشيخ زايد,المعلن
Samsung a52s 5g like new. متاح بدل,9700.0,"Downtown Cairo, Cairo",https://www.dubizzle.com.eg/en/ad/samsung-a52s-5g-like-new-%D9%85%D8%AA%D8%A7%D8%AD-%D8%A8%D8%AF%D9%84-ID200349064.html,https://images.dubizzle.com.eg/thumbnails/86664786-240x180.jpeg,Samsung,سامسونج a52s 5g كسر زيرو باللون المميز.  معاه العلبه والشاحن والجراب.  ذاكره 128 ورامات 8.  معالج سناب دراجون جي 778 5g.  شاشه سوبر اموليد بتردد 120 هرتز.  كاميرا رئيسيه 64 واماميه 32ميجا.  صوت استريو مجسم وبصمة شاشه .  بطاريه 4500 مل بالشاحن السريع.,أ/يوسف
note 20 ultra 5G 12 ram,21000.0,"Awayed, Alexandria",https://www.dubizzle.com.eg/en/ad/note-20-ultra-5g-12-ram-ID200349058.html,https://images.dubizzle.com.eg/thumbnails/86664765-240x180.jpeg,Samsung,نوت ٢٠ ألترا ٢٥٦ رام ١٢  5gحاله كسر زيرو اسكرين وش وظهر من يوم الشراء من الخارج نسخه أمريكي  سناب دراجون  نسخه مش بتنزل مصر خط واحد فقط وارد الخارج معاه شاحن سريع ٢٥ واط فقط بدون علبه عشان الجمارك,Mido
تليفون iku r400,700.0,"Ezbet El Nakhl, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%AA%D9%84%D9%8A%D9%81%D9%88%D9%86-iku-r400-ID200349051.html,https://images.dubizzle.com.eg/thumbnails/86664725-240x180.jpeg,Other brand,تليفون iku r400 ممتاز استخدمته اسبوع بس مش محتاجه لاني محتاج فلوسه عشان الدراسة,سعيد وليم
Iphone xs max 512GB,17500.0,"Tanta, Gharbia",https://www.dubizzle.com.eg/en/ad/iphone-xs-max-512gb-ID200349045.html,https://images.dubizzle.com.eg/thumbnails/86664700-240x180.jpeg,Apple - iPhone,هاتف ايفون اكس اس ماكس ٥١٢ جيجا لون دهبى حالة فوق الممتازة بدون خربوش بطارية ٨١%,شريف
ايفون11,17000.0,"Hawamdeya, Giza",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%8611-ID200349039.html,https://images.dubizzle.com.eg/thumbnails/86664448-240x180.jpeg,Apple - iPhone,بطاريه75 مساحه128 معاه الكرتون فقط,Aml Waleed
6s plus,4500.0,"Beni Suef City, Beni Suef",https://www.dubizzle.com.eg/en/ad/6s-plus-ID200349033.html,https://images.dubizzle.com.eg/thumbnails/86664434-240x180.jpeg,Apple - iPhone,بطاريه83 مساحه 32 مفير باغه فقط  بصمه شغاله  من غير كرتونه,elrosii
ايفون 11pro max المساحه 64 البطريه 77الموبيل معهوش اي حاجه غير الشاحن,18000.0,"Zamalek, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%A7%D9%8A%D9%81%D9%88%D9%86-11pro-max-%D8%A7%D9%84%D9%85%D8%B3%D8%A7%D8%AD%D9%87-64-%D8%A7%D9%84%D8%A8%D8%B7%D8%B1%D9%8A%D9%87-77%D8%A7%D9%84%D9%85%D9%88%D8%A8%D9%8A%D9%84-%D9%85%D8%B9%D9%87%D9%88%D8%B4-%D8%A7%D9%8A-%D8%AD%D8%A7%D8%AC%D9%87-%D8%BA%D9%8A%D8%B1-%D8%A7%D9%84%D8%B4%D8%A7%D8%AD%D9%86-ID200349027.html,https://images.dubizzle.com.eg/thumbnails/86664403-240x180.jpeg,Apple - iPhone,الموبيل بي حاله كويسه جدا فاصل فيس اي دي  الرقم لي التواصل 01201736170,Mohsen
Samsung s23 Ultra 256gb *Sealed*,55000.0,"New Cairo, Cairo",https://www.dubizzle.com.eg/en/ad/samsung-s23-ultra-256gb-sealed-ID200349013.html,https://images.dubizzle.com.eg/thumbnails/86664226-240x180.jpeg,Samsung,Samsung s23  Ultra 256gb  Sealed  باللون الأخضر الأصلي . .  نسخة الشرق الأوسط  الجهاز ما اتفتحش وبضمانه الدولي  بسعر مميز لسرعة البيع,Dr Ahmed Abdulfattah
oppo a92,6500.0,"Bahray - Anfoshy, Alexandria",https://www.dubizzle.com.eg/en/ad/oppo-a92-ID200348998.html,https://images.dubizzle.com.eg/thumbnails/86664000-240x180.jpeg,OPPO,Oppo a92  رامات / 8 ذاكره داخليه / 128 بطاريه / 5000 مللى امبير  معالج ثمانى النواه 665 سناب دراجون . تكنولوجيا 11 نانو  كاميرا 2.48. 2.8 م. ب اماميه 16 ميجا بيكسل شاشه lcd . Ips 6.50 بوصه اندرويد 11 معاه الشاحن والعلبه والهاند فرى  الجهاز مفهوش خدش,محمد
بيفتح وبقفل هبيعو شاشا فقط,500.0,"Shubra, Cairo",https://www.dubizzle.com.eg/en/ad/%D8%A8%D9%8A%D9%81%D8%AA%D8%AD-%D9%88%D8%A8%D9%82%D9%81%D9%84-%D9%87%D8%A8%D9%8A%D8%B9%D9%88-%D8%B4%D8%A7%D8%B4%D8%A7-%D9%81%D9%82%D8%B7-ID200348990.html,https://images.dubizzle.com.eg/thumbnails/86663971-240x180.jpeg,Samsung,. . . . . . . شاشا s3 سامسونج,مصطفي
